deviation,gen_target,gen_input,target_percent,input_percent,total_input_fraction,unique_ratio,unique_elements_len,calc_time,long_ratio,new_percent
0.0,0.005403490123128709,0.8306463995086749,0.10374149659863946,0.8364254792826221,0.0498347259204848,0.004965453707968678,6468,56.630704402923584,0.0030921459492888066,0.056740878169449505
0.1,0.007054332858212741,0.8535237217871948,0.1230855697625404,0.7810875368835183,0.0498347259204848,0.0054636880085981885,7117,56.66025376319885,0.005620345651257552,0.09020654770268377
0.2,0.008906497878063118,0.8708736373407032,0.14150460593654043,0.7256908904810645,0.0498347259204848,0.00600030707815139,7816,57.14874053001404,0.00895598771750256,0.12384851586489243
0.3,0.011096884336320957,0.8843850760018425,0.15901223171013154,0.6646665128086776,0.0498347259204848,0.006652848149854138,8666,57.547722578048706,0.011539349180706208,0.16478190630048462
0.4,0.014132824390597444,0.8960540457546445,0.18094648932879678,0.6017115166512012,0.0498347259204848,0.0074458774758175954,9699,58.222426891326904,0.013918960717599753,0.2034230333024023
0.5,0.0172090289018272,0.9074159373560571,0.19654189276188724,0.5435482387565529,0.0498347259204848,0.008347151850145862,10873,58.473538637161255,0.01701462337901223,0.24289524510254756
0.6,0.021420691099139147,0.9169353600491325,0.21661237785016288,0.48631921824104235,0.0498347259204848,0.00942729924765853,12280,59.48780035972595,0.019136807817589578,0.2779315960912052
0.7,0.026630911828892163,0.9249193919852603,0.23767428489291362,0.4329452350150927,0.0498347259204848,0.010681713496084754,13914,60.09891748428345,0.022495328446169326,0.3068851516458244
0.8,0.032525628326850756,0.9324428066943037,0.2523113443278361,0.3793728135932034,0.0498347259204848,0.012289267618608936,16008,61.20011305809021,0.02623688155922039,0.34207896051974007
0.9,0.03965243720757938,0.9419622293873791,0.2683963806824376,0.3344053199607544,0.0498347259204848,0.014084139413480731,18346,62.336530923843384,0.027308405101929577,0.3698898942548784
1.0,0.048454247497564,0.9461077844311377,0.281444408063988,0.28822676458206653,0.0498347259204848,0.01641255949639183,21379,63.739238262176514,0.029608494316852987,0.4007203330370924
1.1,0.059108222807399,0.9511745739290649,0.2943771556910243,0.24845592363840538,0.0498347259204848,0.01914171656686627,24934,65.30314016342163,0.030961738990936072,0.42620518167963417
1.2,0.0720814308377423,0.9571625978811608,0.30539065165472534,0.21269191402251791,0.0498347259204848,0.02250115154306771,29310,67.46658253669739,0.03312862504264756,0.4487888092801092
1.3,0.08796173266011162,0.9591586058651926,0.3145662942057367,0.17990438889528856,0.0498347259204848,0.02665745432212498,34724,70.2057249546051,0.03383826748070499,0.4716910494182698
1.4,0.10644311840166212,0.9620758483033932,0.31807681201270577,0.15078448358841082,0.0498347259204848,0.03190234914785813,41556,73.2314555644989,0.035614592357300995,0.4955241120415824
1.5,0.12765443432464427,0.9642253953631199,0.3199386441156881,0.12674833996003795,0.0498347259204848,0.038037002917242435,49547,77.23077154159546,0.035723656326316425,0.5175893595979575
1.6,0.15050048719992914,0.9649930907415938,0.32087976237487764,0.1079099634290816,0.0498347259204848,0.04471288192845079,58243,81.72224259376526,0.037704101780471476,0.5335061724155693
1.7,0.1766079610884288,0.9671426378013205,0.3180157188016589,0.09134015834807575,0.0498347259204848,0.05294180869031168,68962,86.38430857658386,0.039079493054145764,0.5515646297961196
1.8,0.2045031768656536,0.9694457239367419,0.31313965819132406,0.07785642062689585,0.0498347259204848,0.06225855980346998,81098,92.05217242240906,0.040235270906804114,0.568768650274976
1.9,0.231826637354142,0.9715952709964686,0.30440943216664906,0.06691339748334567,0.0498347259204848,0.0726009519422693,94570,98.75387048721313,0.04206407951781749,0.5866130908321878
2.0,0.26175118176181156,0.9711346537693843,0.2966180577102079,0.05771933346717527,0.0498347259204848,0.08412559496391832,109582,105.8607234954834,0.043693307294993704,0.6019693015276231
2.1,0.2878667085417019,0.972670044526332,0.2838189757840413,0.05029773719730052,0.0498347259204848,0.09669123291877783,125950,113.93603754043579,0.0460023818975784,0.6198809051210799
2.2,0.3166880068288519,0.9712881928450791,0.2722935779816514,0.04380128094166522,0.0498347259204848,0.11087440503608169,144425,123.71101450920105,0.04800415440540073,0.6359009866712826
2.3,0.34407589044846554,0.9709811146936895,0.2610127247292253,0.03863235123429263,0.0498347259204848,0.12566943037002917,163697,132.88895726203918,0.05163808744204231,0.6487168365944398
2.4,0.3683795166654587,0.9735912789805006,0.24831183776272364,0.034420053847490015,0.0498347259204848,0.1414279134039613,184224,143.7081527709961,0.05409175785999652,0.6631763505297898
2.5,0.39337569154204816,0.9729771226777215,0.23599918835874542,0.03061530137012774,0.0498347259204848,0.1589037309995394,206988,154.28710913658142,0.05848648230815313,0.6748990279629737
2.6,0.41494938757760974,0.9722094272992476,0.224772623176078,0.027621104058976203,0.0498347259204848,0.17599032703823123,229245,165.6884961128235,0.06219546773103012,0.6854108050339156
2.7,0.4345179136568985,0.9731306617534162,0.21289070206033442,0.025006510057051772,0.0498347259204848,0.19457546445570398,253454,178.53611707687378,0.0657081758425592,0.6963946120400546
2.8,0.4532408861401686,0.9709811146936895,0.2025632166533503,0.022760154613574037,0.0498347259204848,0.21330723169046523,277854,191.32351326942444,0.06965528658935988,0.7050213421437158
2.9,0.4703210687797454,0.9715952709964686,0.19300663249625744,0.020912026067329587,0.0498347259204848,0.23230538922155688,302601,203.54248118400574,0.07388607440160476,0.7121952670348082
3.0,0.48438947003921756,0.9712881928450791,0.18352819849396487,0.01930141450138521,0.0498347259204848,0.25161062490403807,327748,216.24499535560608,0.0793048317609871,0.7178655552436628
