epoch,loss,val_r2,train_r2,mse_valid,mae_valid,bottom_mre
0,0.017335576924048,0.26541244983673096,0.2767941951751709,0.0016338315326720476,0.03084069862961769,1.0292208194732666
1,0.002653518538721198,0.43101203441619873,0.44046276807785034,0.00126551347784698,0.02673834003508091,1.073233723640442
2,0.0014708429561698507,0.5362770557403564,0.5465939044952393,0.0010313886450603604,0.023963868618011475,1.1360849142074585
3,0.0010331407798980317,0.6502328515052795,0.6583149433135986,0.0007779339211992919,0.0212481040507555,1.1785310506820679
4,0.0008100642061988622,0.7213228940963745,0.7287418842315674,0.0006198191549628973,0.01916818507015705,1.1233222484588623
5,0.0006730799861329348,0.7672327756881714,0.7755759954452515,0.0005177088314667344,0.017608236521482468,1.1710736751556396
6,0.0005875391991995618,0.8053728938102722,0.8127729892730713,0.0004328795475885272,0.016018357127904892,1.2519587278366089
7,0.0005387711042239258,0.8228163123130798,0.830173134803772,0.0003940827737096697,0.015228018164634705,1.2822539806365967
8,0.0005030342195537992,0.8332387804985046,0.839632511138916,0.0003709016600623727,0.014752845279872417,1.2847872972488403
9,0.0004789936740730898,0.8417335748672485,0.8484336137771606,0.0003520079771988094,0.014288229867815971,1.3021647930145264
10,0.00045865590130001783,0.847312331199646,0.8549283742904663,0.0003395999374333769,0.014014067128300667,1.2518326044082642
11,0.00044041527226178077,0.8499751687049866,0.8564680218696594,0.0003336774534545839,0.01396916713565588,1.3246062994003296
12,0.00042433951913314075,0.8575611114501953,0.8659137487411499,0.0003168052644468844,0.013531927950680256,1.2388712167739868
13,0.0004074495657322604,0.8644885420799255,0.872096061706543,0.00030139752198010683,0.013222888112068176,1.1831110715866089
14,0.0003925254012952506,0.8655922412872314,0.8751844167709351,0.00029894281760789454,0.013106330297887325,1.1378633975982666
15,0.0003758797769763737,0.8749432563781738,0.8842117786407471,0.0002781447838060558,0.01265699788928032,1.1403346061706543
16,0.00036129222423244526,0.8779221177101135,0.8877301812171936,0.0002715192676987499,0.012504118494689465,1.0865763425827026
17,0.0003448656049002631,0.8840972185134888,0.8934485912322998,0.000257785024587065,0.0121741509065032,1.1692519187927246
18,0.00033573638853233526,0.8845025300979614,0.8958101272583008,0.0002568834461271763,0.012147484347224236,1.1562206745147705
