deviation,gen_target,gen_input,target_percent,input_percent,total_input_fraction,unique_ratio,unique_elements_len,calc_time,long_ratio,new_percent
0.0,0.004760837474592121,0.051419800460475826,0.4947791164658635,0.05381526104417671,0.009970005815199095,0.000955487336914812,1245,53.659608602523804,0.04899598393574297,0.40240963855421685
0.1,0.006785739127746562,0.06830391404451266,0.4322993599212211,0.04382077794190054,0.009970005815199095,0.0015587106676899463,2031,53.62523436546326,0.05120630231413097,0.4726735598227474
0.2,0.008895655735804435,0.08135072908672294,0.38898276444744845,0.03582291314633322,0.009970005815199095,0.0022709132770529546,2959,53.96499037742615,0.06083136194660358,0.5143629604596147
0.3,0.011770706937993184,0.09593246354566386,0.35996218388087925,0.02954384306310565,0.009970005815199095,0.00324712202609363,4231,54.72751235961914,0.06688726069487119,0.5436067123611439
0.4,0.014900803004892224,0.10744435917114352,0.3390784382694337,0.024621878297572987,0.009970005815199095,0.004363775901765158,5686,55.03559350967407,0.07052409426661976,0.5657755891663736
0.5,0.018548717433475796,0.13046815042210283,0.31641397495056034,0.02241265655899802,0.009970005815199095,0.005821181887950883,7585,53.27204775810242,0.07264337508239947,0.5885299934080421
0.6,0.022799465178647334,0.14504988488104376,0.3027504105090312,0.01939655172413793,0.009970005815199095,0.007478127398311589,9744,54.10469889640808,0.07214696223316913,0.6057060755336617
0.7,0.027220242833625733,0.1627014581734459,0.28515909642943893,0.017164602056513642,0.009970005815199095,0.009478894858019954,12351,54.493488788604736,0.07481175613310663,0.6228645453809407
0.8,0.031872879456522576,0.1841903300076746,0.2695424836601307,0.01568627450980392,0.009970005815199095,0.011742133537989256,15300,55.39629006385803,0.07764705882352942,0.637124183006536
0.9,0.03756115280278849,0.20337682271680738,0.2592691384369165,0.01413710322752734,0.009970005815199095,0.014386032233307752,18745,56.44859981536865,0.0785276073619632,0.648066150973593
1.0,0.043233968884526505,0.21642363775901766,0.2460848143586134,0.012405419672708076,0.009970005815199095,0.017445894090560247,22732,58.077478885650635,0.0815150448706669,0.6599947210980116
1.1,0.04963327639907566,0.2356101304681504,0.23751756786744582,0.011354390117612249,0.009970005815199095,0.020750575594781273,27038,59.3869354724884,0.0841408388194393,0.6669872031955026
1.2,0.05623352835248746,0.24942440521872603,0.22746740863475787,0.010160377653421702,0.009970005815199095,0.0245487336914812,31987,61.16671419143677,0.08847344233594898,0.6738987713758715
1.3,0.06331295550626406,0.2670759785111282,0.21970712868100628,0.009333261814085716,0.009970005815199095,0.02861550268610898,37286,62.968241930007935,0.08995333369092957,0.6810062758139784
1.4,0.07046194035041618,0.27858787413660785,0.2113939899833055,0.008416805787423483,0.009970005815199095,0.033099002302379124,43128,64.98479294776917,0.0941151919866444,0.6860740122426265
1.5,0.07728632263948249,0.30084420567920184,0.20229401412012218,0.007929925353508789,0.009970005815199095,0.03793783576362241,49433,75.68214559555054,0.09623126251694213,0.6935447980094269
1.6,0.08470580961287281,0.3069838833461243,0.19447106000922673,0.007097483941942581,0.009970005815199095,0.04325249424405219,56358,70.59536719322205,0.10099719649384294,0.6974342595549878
1.7,0.09260447178662792,0.31005372217958554,0.1879499929412872,0.006337155495600069,0.009970005815199095,0.04892632386799693,63751,79.75668573379517,0.10443757744976549,0.7012752741133472
1.8,0.10057269165075856,0.31542594013814274,0.18148220461898917,0.005731897802075198,0.009970005815199095,0.05502993092862625,71704,83.38938999176025,0.107385919892893,0.7053999776860427
1.9,0.10816220853395575,0.3376822716807368,0.17493968674608432,0.005500068750859385,0.009970005815199095,0.0613960092095165,79999,86.4693250656128,0.11107638845485568,0.7084838560482006
2.0,0.11535756517169156,0.34458940905602453,0.16798154296325474,0.005053176523549603,0.009970005815199095,0.06819263238679969,88855,91.10466384887695,0.11530020820437792,0.7116650723088177
2.1,0.12267657992565056,0.3476592478894858,0.16221436455054572,0.004629440379348404,0.009970005815199095,0.0750974673829624,97852,94.96644926071167,0.11886318113068715,0.7142930139394188
2.2,0.13020426775073615,0.3683806600153492,0.15659828408362073,0.004461754399010978,0.009970005815199095,0.08256408288564851,107581,99.26146697998047,0.12448294773240628,0.714457013784962
2.3,0.1367504192783003,0.363008442056792,0.1512333544163148,0.004042804150498299,0.009970005815199095,0.08979125095932464,116998,103.22238898277283,0.12850647019607173,0.7162173712371152
2.4,0.14474955367148676,0.3699155794320798,0.1470440449085342,0.0037842506084635316,0.009970005815199095,0.09775134305448964,127370,108.509104013443,0.13282562612860171,0.7163460783544006
2.5,0.15090927358585352,0.3775901765157329,0.14127061070635305,0.0035596200177981,0.009970005815199095,0.10607597851112817,138217,113.31528329849243,0.13884688569423442,0.7163228835816144
2.6,0.1591248096824305,0.3844973138910207,0.13848513179931796,0.003369811599954262,0.009970005815199095,0.11410053722179586,148673,117.9093325138092,0.1429109522240084,0.7152341043767194
2.7,0.16379290356985524,0.3883346124328473,0.13287230640944458,0.0031724336829697993,0.009970005815199095,0.1224090560245587,159499,123.2688102722168,0.1492360453670556,0.71471921454053
2.8,0.16962029229687223,0.3829623944742901,0.12887636160779822,0.0029302093426113508,0.009970005815199095,0.1306945510360706,170295,128.6235191822052,0.15454358612995098,0.7136498429196394
2.9,0.17444295882957592,0.3844973138910207,0.12456058055793162,0.0027648243701884605,0.009970005815199095,0.13906753645433614,181205,133.27723717689514,0.16073507905411,0.71193951601777
3.0,0.18027807618885686,0.37221795855717577,0.12134359182441957,0.002523006174862535,0.009970005815199095,0.14752954719877207,192231,138.2245328426361,0.1667577029719452,0.7093756990287727
