deviation,gen_target,gen_input,target_percent,input_percent,total_input_fraction,unique_ratio,unique_elements_len,calc_time,long_ratio,new_percent
0.4,0.00014610776601225767,0.0015360983102918587,0.0945273631840796,0.004975124378109453,0.00498117711872188,0.00015360983102918587,201,49.877968072891235,0.3880597014925373,0.5124378109452736
0.5,0.0001922470605424443,0.0015360983102918587,0.1,0.004,0.00498117711872188,0.0001910570037676441,250,49.854077100753784,0.396,0.5
0.6,0.00020762682538583984,0.0015360983102918587,0.09090909090909091,0.003367003367003367,0.00498117711872188,0.0002269757204759612,297,49.93581581115723,0.4208754208754209,0.48484848484848486
0.7,0.00021531670780753763,0.0015360983102918587,0.07692307692307693,0.0027472527472527475,0.00498117711872188,0.0002781789974856898,364,49.816508054733276,0.40934065934065933,0.510989010989011
0.8,0.0002614560023377243,0.0015360983102918587,0.07727272727272727,0.0022727272727272726,0.00498117711872188,0.00033626032663105365,440,49.904999017715454,0.45454545454545453,0.46590909090909094
0.9,0.0002845256496028176,0.0015360983102918587,0.06764168190127971,0.0018281535648994515,0.00498117711872188,0.00041803272424360534,547,50.188475131988525,0.4405850091407678,0.48994515539305306
1.0,0.00030759529686791087,0.0015360983102918587,0.0631911532385466,0.001579778830963665,0.00498117711872188,0.0004837563335396749,633,50.102360010147095,0.4676145339652449,0.4676145339652449
1.1,0.0003844941210848886,0.0030721966205837174,0.0648508430609598,0.0025940337224383916,0.00498117711872188,0.0005892197996194144,771,50.2733051776886,0.4656290531776913,0.4669260700389105
1.2,0.00046139294530186633,0.0015360983102918587,0.06329113924050633,0.0010548523206751054,0.00498117711872188,0.0007244881582869065,948,50.19224429130554,0.4820675105485232,0.45358649789029537
1.3,0.0004921524749886574,0.0015360983102918587,0.05823475887170155,0.0009099181073703367,0.00498117711872188,0.0008398865885625636,1099,50.12483501434326,0.4895359417652411,0.45131938125568705
1.4,0.0006382602410009151,0.0015360983102918587,0.06459143968871596,0.0007782101167315176,0.00498117711872188,0.0009820329993656908,1285,50.27524209022522,0.4964980544747082,0.43813229571984436
1.5,0.0007843680070131727,0.0015360983102918587,0.06901217861975643,0.0006765899864682003,0.00498117711872188,0.001129529006274312,1478,50.160550594329834,0.4952638700947226,0.43504736129905275
1.6,0.000876646596073546,0.0030721966205837174,0.06627906976744186,0.0011627906976744186,0.00498117711872188,0.0013144721859213915,1720,50.342050075531006,0.5005813953488372,0.4319767441860466
1.7,0.0010535138917725949,0.0030721966205837174,0.06968463886063073,0.001017293997965412,0.00498117711872188,0.0015024722776287532,1966,50.4420371055603,0.5076297049847406,0.42166836215666326
1.8,0.0010996531863027815,0.0015360983102918587,0.06435643564356436,0.00045004500450045,0.00498117711872188,0.0016981146494868208,2222,50.560046434402466,0.5193519351935193,0.4158415841584159
1.9,0.0011073430687244792,0.004608294930875576,0.06,0.00125,0.00498117711872188,0.0018341472361693835,2400,50.544593811035156,0.5458333333333333,0.3929166666666667
2.0,0.001215001422628248,0.004608294930875576,0.058692421991084695,0.001114413075780089,0.00498117711872188,0.002057301816569992,2692,50.26973223686218,0.5475482912332839,0.39264487369985135
2.1,0.0013303496589537145,0.004608294930875576,0.05834738617200674,0.001011804384485666,0.00498117711872188,0.0022659360646842593,2965,50.37990856170654,0.5446880269814502,0.39595278246205734
2.2,0.0014380080128574835,0.004608294930875576,0.057344372891751,0.0009199632014719411,0.00498117711872188,0.00249214755714515,3261,50.44102907180786,0.5538178472861086,0.3879178166206685
2.3,0.0015072169546527633,0.004608294930875576,0.05535159559446484,0.0008472182999152782,0.00498117711872188,0.0027061314013649114,3541,50.57883429527283,0.5642473877435753,0.3795537983620446
2.4,0.00162256519097823,0.004608294930875576,0.05489073881373569,0.0007804370447450572,0.00498117711872188,0.002937692489931296,3844,50.65077185630798,0.5725806451612904,0.3717481789802288
2.5,0.0015918056612914389,0.006144393241167435,0.050947575682992866,0.0009844942160964804,0.00498117711872188,0.003105058425231752,4063,51.10670614242554,0.5874969234555747,0.3605710066453359
2.6,0.0017609830745687898,0.006144393241167435,0.051013588772555137,0.0008910670527957229,0.00498117711872188,0.0034306195596518177,4489,51.304837703704834,0.5901091557139675,0.35798618846068164
2.7,0.001822502133942372,0.004608294930875576,0.049262107669923096,0.0006235709831635835,0.00498117711872188,0.003676700980504543,4811,51.295201539993286,0.5996674288089794,0.35044689253793393
2.8,0.001822502133942372,0.004608294930875576,0.04525491693717777,0.0005728470498376934,0.00498117711872188,0.004002262114924609,5237,51.45006823539734,0.6043536375787665,0.34981859843421803
2.9,0.0019224706054244431,0.004608294930875576,0.04590525156077855,0.0005508630187293427,0.00498117711872188,0.004161985770074359,5446,51.606483697891235,0.6162320969518913,0.33731178846860077
3.0,0.0019147807230027454,0.006144393241167435,0.04255682789266792,0.0006836438215689625,0.00498117711872188,0.004471498116177943,5851,51.75582504272461,0.624337720047855,0.3324218082379081
3.1,0.002030128959328212,0.006144393241167435,0.04298974108451392,0.0006513597134017262,0.00498117711872188,0.00469312424054841,6141,51.80384945869446,0.6349128806383325,0.3214460185637519
3.2,0.0022377557847140517,0.006144393241167435,0.04433947889684595,0.0006094773731525217,0.00498117711872188,0.005015628462908193,6563,51.85725522041321,0.6338564680786226,0.3211945756513789
3.3,0.0021839266077621675,0.006144393241167435,0.04123112659698026,0.0005807200929152149,0.00498117711872188,0.0052640025678061305,6888,51.9521689414978,0.6482288037166086,0.3099593495934959
3.4,0.0022838950792442385,0.006144393241167435,0.04022754977651361,0.0005417851821752675,0.00498117711872188,0.005642295435266066,7383,52.33297681808472,0.650954896383584,0.3082757686577272
3.5,0.002353104021039518,0.006144393241167435,0.04011010617381046,0.0005243151133831433,0.00498117711872188,0.005830295526973428,7629,52.05475568771362,0.6589330187442654,0.300432559968541
3.6,0.0023454141386178204,0.006144393241167435,0.0376078914919852,0.0004932182490752158,0.00498117711872188,0.006197889202222375,8110,52.00770568847656,0.6660912453760789,0.2958076448828607
3.7,0.0024223129628347983,0.006144393241167435,0.037251655629139076,0.0004730368968779565,0.00498117711872188,0.006462312095436794,8456,52.47470140457153,0.6773888363292336,0.2848864711447493
3.8,0.0023915534331480073,0.006144393241167435,0.03499099909990999,0.00045004500450045,0.00498117711872188,0.006792458597947283,8888,52.35541105270386,0.6829432943294329,0.2816156615661567
