,ID,formula,smiles,HOMO_LUMO_gap
3320,CEYREF,C28 H36 N2 O8 S2,COCCOCCOCCN1C(=O)C2=C(N(CCOCCOCCOC)C(=O)C2=C1C1=CC=CS1)C1=CC=CS1,4.27490859
3321,CEYWEJ,C31 H20,C1CC21c1cc(ccc1c1ccc(cc21)C#Cc1ccccc1)C#Cc1ccccc1,5.79112697
3322,CEYXAF,C19 H20 O5,COc1cc2CCCC3=C(C=CC(=O)C(=C3)O)c2c(OC)c1OC,5.761194440000001
3323,CEYYAJ,C16 H10 N4 S6,S=C1SC(=NN1c1ccccc1)SSC1=NN(C(=S)S1)c1ccccc1,5.93371462
3324,CEZDOC,C19 H19 N1 O3,CCN(CC)c1ccc(cc1)C1=C(O)C(=O)c2ccccc2O1,5.73371095
3325,CEZFUL,C13 H9 Br1 N2 O2 S1,COc1ccc(OC2=CC=C(Br)C3=NSN=C23)cc1,5.6523489
3326,CEZHEX,C17 H13 N1 O5 S1,NS(=O)(=O)Oc1ccccc1C=C1C=C(OC1=O)c1ccccc1,5.443365469999999
3327,CEZNEC,C22 H20 N4 O2,CC1=NN(C(=O)C1=CC(=C1NCCN1)C(=O)c1ccccc1)c1ccccc1,5.71820045
3328,CEZQOQ,C27 H21 N1 O5,COC(=O)C=C(N1c2ccccc2C(=O)C(=C1c1ccccc1)C(=O)OC)c1ccccc1,5.5835041
3329,CEZRAD,C27 H20 Cl1 N1 O5,COC(=O)C=C(N1c2ccc(Cl)cc2C(=O)C(=C1c1ccccc1)C(=O)OC)c1ccccc1,5.71820045
3330,CEZXOU,C33 H28 O4 P2,O=Cc1ccccc1P(C1CCCC1P(c1ccccc1C=O)c1ccccc1C=O)c1ccccc1C=O,6.2455571
3331,CHANOT,C15 H18 O3,CC(C)=CC1CC(C)(O)C2=CC(=O)C(=CC=C12)O,5.91031283
3332,CHMPXP,C18 H24 N2 O1,CN(C(=O)C1CCCN1C1=CCCCC1)c1ccccc1,5.79602501
3333,CHOLSL10,C5 H13 N1 O4 S1,C[N+](C)(C)CCOS(=O)(=O)[O-],6.894004400000002
3334,CHPDTP,C11 H6 O1 S2,O=C1C2=C(SC=C2)C=CC2=C1C=CS2,5.83765843
3335,CHROSP,C20 H22 Cl2 O4,Cc1cc(C)c(OCCl)c2OC3(CCc12)C(=CC(=C(OCCl)C3=O)C)C,5.92337429
3336,CIBCOH,C18 H17 N1 O3 S1,CNC1=C(C(=O)C(C)(C)C)C2=C(S1)C(=O)c1ccccc1C2=O,5.0411812000000005
3337,CIBGIG,C20 H20 O3 S1,COc1ccccc1C(=C1[S+]([O-])c2ccccc2C1=O)C(C)(C)C,6.15058936
3338,CIBPEI,C18 H13 N1 O3,OC(=O)c1ccccc1C(=O)Nc1ccc2ccccc2c1,6.07330903
3339,CIBRUD,C16 H15 N3 O2 S2,CC1=C(SC=C1)C1CC(=NN1C(N)=S)c1ccc2OCOc2c1,5.98541626
3340,CIBTOZ,C26 H24 B2 F4 N4 O1,CC1=CC(=C2C=[N+](c3ccc(Oc4ccc(cc4)[N+]4=CC5=C(C)C=C(C)N5[B-]4(F)F)cc3)[B-](F)(F)N12)C,5.148938279999999
3341,CIBVIT,C32 H22 F6 O2 S3,COCOC(C)C1=C(Sc2ccccc12)C1=C(C2=C(C)c3c(S2)ccc2Sc4ccccc4c32)C(F)(F)C(F)(F)C1(F)F,5.5503062100000005
3342,CIBVOZ,C35 H18 F6 S4,CC1=C(Sc2ccc3Sc4ccccc4c3c12)C1=C(C2=C(C)c3c(S2)ccc2Sc4ccccc4c32)C(F)(F)C(F)(F)C1(F)F,5.15029885
3343,CIBZEU,C20 H10 S4,S1c2ccccc2C2=C1C=C(S2)C1=CC2=C(S1)c1ccccc1S2,5.47411433
3344,CICGOK,C13 H20 N2 O5,COC(=O)C=C(C(=O)OC)C(C(C)=O)=C(C)NN(C)C,5.888543729999999
3345,CICHAX,C17 H24 N2 O6,COC(=O)CC1N(N(C)C)C(=C(C=CC(=O)OC)C=C1C(=O)OC)C,6.024328540000001
3346,CICJAZ,C38 H29 N3 O3,Cc1ccc(cc1)N1C(=O)N(c2ccc(C)cc2)C2(N(c3ccccc3)C(=O)C(=O)C2=C1c1ccccc1)c1ccccc1,6.1579364299999995
3347,CICPOU,C16 H11 F3 N4,FC(F)(F)c1ccc(cc1)c1nnc(Cc2ccccc2)nn1,6.34379019
3348,CICPUA,C29 H22 F6 N4 S2,CCCCC1=C(C=C(S1)C=C(C#N)C#N)C1=C(C2=C(CCCC)SC(=C2)C=C(C#N)C#N)C(F)(F)C(F)(F)C1(F)F,5.7900385100000005
3349,CICRUB,C30 H26 Cl2 N4,Clc1ccc(NC2=CC3=Nc4ccccc4N(c4ccc(Cl)cc4)C3=CC2=NC2CCCCC2)cc1,4.84934093
3350,CICSAI,C31 H28 Cl2 N4,CC1CCC(CC1)N=C1C=C2N(c3ccc(Cl)cc3)c3ccccc3N=C2C=C1Nc1ccc(Cl)cc1,4.89015801
3351,CICSEN,C19 H20 O5,COc1ccc(C=CC(=O)c2ccc(OC)c(OC)c2)cc1OC,5.898067709999999
3352,CICSOX,C22 H19 Cl1 N2,Cc1ccc(cc1)C1CC(=NN1c1ccccc1)c1ccc(Cl)cc1,5.74214647
3353,CICTAJ,C10 H13 N1 O3 S1,C[NH+]1CCCc2ccc(cc12)S(=O)(=O)[O-],5.85235258
3354,CICTEO,C18 H14 N2 O3,Oc1ccc(cc1)C(=O)NN=Cc1c(O)ccc2ccccc12,5.99439601
3355,CICVAO,C22 H18 N2 O1,O=C(CCC1=Cc2ccccc2N1c1ccccn1)c1ccccc1,6.07684651
3356,CICWUG,C20 H18 O3 S1,CC(C)=C1C(=O)OC(=O)C1=C(C)C1=C(C)SC(=C1)c1ccccc1,5.94813666
3357,CICXAN,C20 H18 O3 S1,CC1=C2C=C(SC2(C)C(C)(C)C2=C1C(=O)OC2=O)c1ccccc1,4.68416782
3358,CICYIW,C8 H4 N2 S1,N#CC(=CC1=CC=CS1)C#N,5.88010819
3359,CICYOC,C16 H14 O3,COC1=CC(=O)C(=CC1=O)C(C=C)c1ccccc1,6.141881719999999
3360,CIDBEX,C23 H23 N5 O3 S1,NC(=O)NN=C1C2CCN(CC2)C1=CC1=CN(c2ccccc12)S(=O)(=O)c1ccccc1,5.92255795
3361,CIDCEY,C31 H25 N5 O3,COc1cc(cc(OC)c1OC)c1c(C#N)c(nc2N(N=C(C)c12)c1ccccc1)C1=CNc2ccccc12,5.91711568
3362,CIDFAX,C27 H25 N1 O1,CC(N1CC(=Cc2ccccc2)C(=O)C(C1)=Cc1ccccc1)c1ccccc1,6.53263721
3363,CIDFEB,C27 H23 Cl2 N1 O1,CC(N1CC(=Cc2ccc(Cl)cc2)C(=O)C(C1)=Cc1ccc(Cl)cc1)c1ccccc1,6.16120181
3364,CIDFIF,C27 H23 Cl2 N1 O1,CC(N1CC(=Cc2ccccc2Cl)C(=O)C(C1)=Cc1ccccc1Cl)c1ccccc1,6.33644312
3365,CIDGIH,C19 H14 N4 O1,O=C(Nc1ccc2ccccc2n1)Nc1cccc2cccnc12,6.06460138
3366,CIDJEH,C11 H15 N3 S1,CNC(=S)NN=C(C)c1ccc(C)cc1,5.944327060000001
3367,CIDJOR,C19 H17 N1 O5,CCOC(=O)c1ccc(NC(=O)C(O)=CC(=O)c2ccccc2)cc1,6.0801118800000005
3368,CIDMUA,C24 H20 N2 O3,COC(=O)C12COc3ccccc3C1=NN(C2c1ccccc1)c1ccccc1,5.8997003900000005
3369,CIDPIP,C14 H16 N2 O4,CCOC(=O)C1=C(C=O)c2c(N)c(OC)ccc2N1C,4.90975021
3370,CIDPOU,C12 H16 O3,CCCCCC1=CC(=O)C=C(OC)C1=O,6.5108681
3371,CIDPUD,C26 H25 N1 O8,CCOC(=O)C1NC(CC(=O)OC)(C(=O)OC)C2(C1c1ccccc1)C(=O)c1ccccc1C2=O,6.52392956
3372,CIDQAK,C27 H27 N1 O9,CCOC(=O)C1NC(CC(=O)OC)(C(=O)OC)C2(C1c1cccc(OC)c1)C(=O)c1ccccc1C2=O,6.03113138
3373,CIDQEO,C26 H24 F1 N1 O8,CCOC(=O)C1NC(CC(=O)OC)(C(=O)OC)C2(C1c1cccc(F)c1)C(=O)c1ccccc1C2=O,6.48991533
3374,CIDROW,C21 H23 N3 O2,CCOC(=O)N1N=C2CCc3cc4CCC1=C1CCc4nc3CCC2=C1,6.02813813
3375,CIDSAM,C24 H10 Br4,BrC(Br)=C(C#CC#CC(C#Cc1ccccc1)=C(Br)Br)C#Cc1ccccc1,5.594388650000001
3376,CIDSEQ,C20 H10 Br4,BrC(Br)=C(C#CC#CC(=C(Br)Br)c1ccccc1)c1ccccc1,5.867863079999999
3377,CIDSIU,C28 H10 Br4,BrC(Br)=C(C#CC#CC#CC#CC(C#Cc1ccccc1)=C(Br)Br)C#Cc1ccccc1,5.44527026
3378,CIDSOA,C13 H15 N1 O1 S1,CCN(CC)c1ccc2C=CC(=S)Oc2c1,5.41560985
3379,CIDTEO,C17 H16 O4,COC1=C(OC)C(=O)C(=CC1=O)C(C=C)c1ccccc1,5.7995625
3380,CIDTIS,C17 H16 O4,COc1ccc(cc1)C(C=C)C1=CC(=O)C(=CC1=O)OC,5.4107118
3381,CIFDAZ,C39 H52 N2 P2,CP(c1nc2ccccc2nc1P(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,5.29207017
3382,CIFFAY,C17 H21 N3 O2 S1,CC(C)(C)C1(C#N)C2SC=CN2C(=O)C(C#N)(C1=O)C(C)(C)C,5.37506489
3383,CIFNUA,C21 H19 N3 O3,CN=C1OC(=C2C(=O)C(=O)N(C)C2(N1C)c1ccccc1)c1ccccc1,5.839019
3384,CIFPAI,C27 H31 N3 O2 S1,CC(C)N=C1SC(=C2C(=O)C(=O)N(C(C)C)C2(N1C(C)C)c1ccccc1)c1ccccc1,6.0602475600000005
3385,CIFQEO,C23 H23 N1 O3,COC(=O)C1=Cc2ccc3ccccc3c2NC2=C(C1)C(=O)CC(C)(C)C2,6.08963586
3386,CIFRIS,C12 H10 O4,CC1=C(C)C(=O)c2c(O)ccc(O)c2C1=O,5.83194404
3387,CIFTUI,C9 H10 Cl1 N3 S1,CNC(=S)NN=Cc1ccccc1Cl,5.80337209
3388,CIFXIY,C14 H10 F3 N3,Cc1cc(C)c2N=Nc3c(F)c(F)nc(F)c3Cc2c1,6.26678198
3389,CIGFED,C16 H14 N4 S1,CC1=NN(c2ccccc2)C(=S)C1=NNc1ccccc1,4.995193950000001
3390,CIGFIK,C26 H17 Br1 F3 N5 O3,CC1(NC(OC(=C1)C(F)F)=NC(=O)c1ccc(Br)cc1)c1cc(NC(=O)c2ccc(cn2)C#N)ccc1F,5.867590960000001
3391,CIGFOQ,C26 H19 Br1 F1 N5 O3,CC1=CC(C)(NC(O1)=NC(=O)c1ccc(Br)cc1)c1cc(NC(=O)c2ccc(cn2)C#N)ccc1F,5.85480161
3392,CIGFUW,C21 H17 F2 N5 O2,NC1=NC(C=C(CF)O1)(C1CC1)c1cc(NC(=O)c2ccc(cn2)C#N)ccc1F,5.73724842
3393,CIGJAG,C35 H30 F1 N3 O7 S2,CCOC(=O)C1=C(C)N=C2SC3(C4Sc5ccccc5N4C(C3C(=O)OC)C(=O)c3ccc(OC)cc3)C(=O)N2C1c1ccc(F)cc1,5.37669757
3394,CIGSES,C18 H14 N4 O1,O=C(Nc1ccc2ccccc2n1)Nc1cccc2C=CNc12,5.10485583
3395,CIGSIV,C23 H24 N2,CCN(CC)c1ccc(C=Cc2ccnc(c2)c2ccccc2)cc1,5.97915763
3396,CIGWUK,C17 H14 Cl1 N1 O8,COC(=O)C=C(C(=O)OC)C(C(=O)OC)=C1Nc2cc(Cl)ccc2OC1=O,5.85888332
3397,CIHBOM,C32 H44 N4 S2,CCCCN(CCCC)c1ccc(cc1)C1=NC2=C(S1)N=C(S2)c1ccc(cc1)N(CCCC)CCCC,5.357649609999999
3398,CIHCOL,C25 H30 Cl2 O1,CC(C)(C)c1cc2c(cc(c3C(=C(Cl)C(=O)c23)Cl)C(C)(C)C)c(c1)C(C)(C)C,5.052337870000001
3399,CIHGAC,C26 H32 N4 O7,CCOC(=O)C1=C2N=C(C=CN2N=C1Nc1ccc(OC)cc1)C1OC(C)(C)OC1C1COC(C)(C)O1,5.47411433
3400,CIHHAD,C23 H18 N4 O1 S1,O=C(C(N1C=NC=N1)C(=S)Nc1ccccc1)c1ccc(cc1)c1ccccc1,6.06242447
3401,CIHNIS,C19 H12 Br2 N2,Brc1ccc(cc1)C1=C2C=CC=C2C(=NN1)c1ccc(Br)cc1,5.47819604
3402,CIHRAO,C18 H10 O3 S3,CSC1=C(C(=O)C2=CC=CS2)C2=C(S1)C(=O)c1ccccc1C2=O,5.15057096
3403,CIHRES,C20 H11 Cl1 O3 S2,CSC1=C(C(=O)c2ccccc2Cl)C2=C(S1)C(=O)c1ccccc1C2=O,5.12934608
3404,CIHVEU,C20 H18 O6,Cc1cc(O)c2C(=O)C3CCCC(=O)C43C(C(=O)C(=CC4=O)C)c2c1O,6.34705557
3405,CIHXUP,C30 H22 N2 O2,Cc1ccc(cc1)N1c2ccccc2C(=O)C1=C1N(c2ccc(C)cc2)c2ccccc2C1=O,4.27463648
3406,CIHYAW,C23 H16 N2 O2,Cc1ccc(cc1)N1c2ccccc2C(=O)C1=C1Nc2ccccc2C1=O,4.3505562399999995
3407,CIHYEA,C24 H19 N3 O2,CN(C)c1ccc(cc1)N1c2ccccc2C(=O)C1=C1Nc2ccccc2C1=O,4.23273094
3408,CIHYIE,C22 H14 N2 O2,O=C1C(Nc2ccccc12)=C1N(c2ccccc2)c2ccccc2C1=O,4.41776837
3410,CIJFEG,C22 H14 O4,O=C(c1ccccc1)C(=O)c1cccc(c1)C(=O)C(=O)c1ccccc1,6.7576753599999995
3411,CIJFIK,C22 H14 O4,O=C(c1ccccc1)C(=O)c1ccc(cc1)C(=O)C(=O)c1ccccc1,6.696993970000001
3412,CIJFIM,C36 H39 N3 O3 S3,CCc1c(CS(=O)C(=C)c2ccccn2)c(CC)c(CS(=O)C(=C)c2ccccn2)c(CC)c1CS(=O)C(=C)c1ccccn1,6.3807976800000015
3413,CIJGAD,C9 H8 Cl2 N6,Nn1cnnc1NN=Cc1c(Cl)cccc1Cl,5.8901764100000005
3414,CIJHOS,C14 H12 O4,CC(=O)C1=C(O)C(OC1=O)=C(C)c1ccccc1,5.59874247
3415,CIJKAJ,C42 H45 F5 O2 S2,CCCCCCCCOc1cc(c(OCCCCCCCC)cc1C1=CC=C(S1)c1ccccc1)C1=CC=C(S1)c1c(F)c(F)c(F)c(F)c1F,5.06213396
3416,CIJNAN01,C40 H22 N2 O6,O=C1N(C(=O)c2ccc3C(=O)N(C(=O)c4ccc1c2c34)c1ccccc1C(=O)c1ccccc1)c1ccccc1C(=O)c1ccccc1,5.36798993
3417,CIJNEO,C13 H13 N3 O1 S1,CN(N=Cc1c(O)ccc2ccccc12)C(N)=S,5.66105655
3418,CIJNUG,C17 H10 Br2 O3,Brc1ccc2OC3COc4ccc(Br)cc4C(=O)C3=Cc2c1,5.96745674
3420,CIJVAS,C24 H21 N1 O2 S1,CN(c1ccccc1)C1=C(C=C(O1)S(=O)c1ccc(C)cc1)c1ccccc1,6.91141969
3421,CIJWEX,C24 H26 O8,CCCCCc1c(C(=O)OC)c(OC)cc2Oc3cc(OC)cc(C(=O)C(=O)OC)c3c12,5.4991487999999995
3422,CIKJAI,C13 H10 Br2 N2 O3 S1,NS(=O)(=O)c1ccc(cc1)N=Cc1cc(Br)cc(Br)c1O,5.92609543
3423,CIKJEM,C16 H11 Br2 N3 O3 S2,Oc1c(Br)cc(Br)cc1C=Nc1ccc(cc1)S(=O)(=O)NC1=NC=CS1,5.867863079999999
3424,CIKLUD,C41 H30 O2,O=C(C1C(c2ccccc2)C(=O)C(=C2C=CC(C12)=C(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,4.933151990000001
3425,CIKNUG01,C17 H17 N1 O3,CC(=O)C1=Cc2cc3CCCN4CCCc(c2OC1=O)c34,5.43003188
3426,CIKPOC,C26 H16 Br4 N2 O2 S2,Oc1c(Br)cc(Br)cc1C=Nc1ccccc1SSc1ccccc1N=Cc1cc(Br)cc(Br)c1O,5.93453097
3427,CIKRET,C14 H10 O2,CC12C3=CC=C1C(=C(C=O)C2=CC=C3)C=O,5.63248459
3428,CIKSIA,C12 H11 N3 O3 S3,NS(=O)(=O)c1ccc(NC(=S)NC(=O)C2=CC=CS2)cc1,6.02704968
3429,CIKSIZ,C28 H20 N4 O4,O=C1N(CCc2ccncc2)C(=O)c2ccc3C(=O)N(CCc4ccncc4)C(=O)c4ccc1c2c34,5.686091019999999
3430,CIKTUN,C20 H21 N3 O3,CN(C)CCNC(=O)C1=C(O)c2ccccc2N(C1=O)c1ccccc1,6.41100232
3431,CIKYON,C16 H22 N2 O4,CN1CCOCC=CCOCCN(C)C2=CC(=O)C1=CC2=O,5.47166531
3432,CILBUW,C26 H25 N2 P1,Cc1cccc(C)c1N1C=CN(P1C#Cc1ccccc1)c1c(C)cccc1C,5.80228363
3433,CILHOU,C29 H26 O6,CCOc1ccc(cc1)C(=O)Oc1ccc(OC(=O)c2ccc(OCC)cc2)c2C3CC(C=C3)c12,6.0452813
3434,CILMIW,C18 H8 Cl2 S2,ClC1=Cc2cc3cc4cc5SC(=Cc5cc4cc3cc2S1)Cl,4.3502841299999995
3435,CILMOC,C18 H8 F2 S2,FC1=Cc2cc3cc4cc5SC(=Cc5cc4cc3cc2S1)F,4.64416709
3437,CILQIA,C26 H24 N2 O3,Cc1ccc(O)c(c1)C1CCCNc2c1ccc1N(Cc3ccccc3)C(=O)C(=O)c21,5.6727574500000015
3438,CILRIZ,C22 H20 N2 O1 S1,Cc1ccc(cc1)C(=O)C1=CN(CC=C)C(=S)N=C1c1ccc(C)cc1,5.68636313
3439,CILTEZ,C32 H35 N3 O2 S1,CC(C)c1cccc(C(C)C)c1[N+]1=CN2C(=C1)C=Cc1cccc([N-]S(=O)(=O)c3c(C)cc(C)cc3C)c21,5.3505746400000005
3440,CILVIE,C15 H14 N2 O3,CCOC(=O)C(C#N)=C1Nc2ccc(OC)cc2C=C1,5.417514649999999
3441,CILVOK,C13 H9 N3 O1,COc1ccc2NC(C=Cc2c1)=C(C#N)C#N,5.362547650000001
3444,CIMCUY,C52 H38 N4 O4,Oc1ccccc1C(=Nc1ccccc1N=Cc1cccc(c1O)c1cccc(C=Nc2ccccc2N=C(c2ccccc2)c2ccccc2O)c1O)c1ccccc1,5.7407859
3445,CIMDUZ,C18 H16 O1 S2,CSC(=Cc1c2ccccc2cc2ccccc12)S(C)=O,5.44499815
3446,CIMFAH,C42 H28 O2,CCCOc1c2c3cccc2C#CC#Cc2cccc4cc5cccc(C#CC#Cc6cccc(c3)c16)c5c(OCCC)c24,4.21286664
3447,CIMKOB,C28 H16 N2,c1ccc2c(c1)c(C#Cc1cccnc1)c1ccccc1c2C#Cc1cccnc1,4.5638935
3448,CIMMUI03,C19 H17 B1 F2 I2 N2,CC1=C(I)C(=C2N1[B-](F)(F)[N+]1=C(C)C(=C(C)C1=C2c1ccccc1)I)C,4.6409017200000005
3449,CIMNOE,C50 H42 N2 O4,CCCC(CCC)N1C(=O)c2c3ccc4c5ccccc5c5ccc6c7C(=O)N(C(CCC)CCC)C(=O)c7c7c8ccccc8c(c2C1=O)c1c3c4c5c6c71,4.45613642
3450,CIMNUH,C5 H2 O3,O=C1C=CC(=O)C1=O,6.22106685
3451,CIMNUK,C44 H32 O8,CCOC(=O)c1c2ccc3c4ccccc4c4ccc5c(C(=O)OCC)c(C(=O)OCC)c6c7ccccc7c(c1C(=O)OCC)c1c2c3c4c5c61,5.04988884
3452,CIMQEU,C26 H19 O1 P1,O1c2ccccc2C2=Cc3ccccc3P12(c1ccccc1)c1ccccc1,5.33397569
3453,CIMSUP,C19 H17 N3 O1 S1,CC1=CSC(=C1N)C(=O)NN=Cc1ccc(cc1)c1ccccc1,5.40499741
3454,CIMTUP,C25 H19 N1 O1,O=C(c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,6.02541699
3455,CIMVIG,C38 H25 N5,Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)c1ccc2c(c1)c1ccccc1c1nc(C#N)c(nc21)C#N,4.43082983
3456,CIMZON11,C10 H8 S8,C1CSC2=C(S1)SC(S2)=C1SC2=C(SCCS2)S1,5.85017567
3457,CINGOX,C21 H24 N4 O1,CCC(CC)(C1=CC=CN1)C1=NC(C=C1)=NNc1ccccc1C(C)=O,4.70076677
3458,CINGUD,C12 H11 N3 O1,CC(=O)c1ccccc1N=NC1=CC=CN1,5.60554532
3459,CINHAK,C29 H30 N6 O2,CCC(CC)(C1=CC=C(N1)N=Nc1ccccc1C(C)=O)C1=NC(C=C1)=NNc1ccccc1C(C)=O,4.90321947
3460,CINKOB,C32 H28 N8,N#Cc1ccccc1N1CCN(CC1)C(N1CCN(CC1)c1ccccc1C#N)=C1C=CC(C=C1)=C(C#N)C#N,4.265112500000001
3461,CINKOC,C29 H16 O1,O=C1c2cc(ccc2c2ccc(cc12)C#Cc1ccccc1)C#Cc1ccccc1,5.343499680000001
3462,CINLAO,C45 H38,CCCCC1(CCCC)c2ccccc2c2cc3c(cc12)c(C#Cc1ccccc1)c1ccccc1c3C#Cc1ccccc1,4.44960569
3463,CINLOC,C11 H8 N2 O2,COc1cccc2C=C(C#N)C(=N)Oc12,6.12473854
3464,CINLUI,C14 H12 N2 O4,CCOC(=O)N=C1Oc2c(OC)cccc2C=C1C#N,6.13344619
3465,CINMET,C25 H28 O6,CCOc1ccc(C=CC(O)=CC(=O)C=Cc2ccc(OCC)c(OC)c2)cc1OC,5.13097876
3466,CINMIX,C29 H36 O6,CCCCOc1ccc(C=CC(O)=CC(=O)C=Cc2ccc(OCCCC)c(OC)c2)cc1OC,5.26431455
3467,CINMOD,C28 H20 N2 O2,O=C1C(=C([O-])C1=[N+](c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,5.30104992
3468,CINMUJ,C32 H28 N2 O2,Cc1ccc(cc1)N(c1ccc(C)cc1)C1=C([O-])C(=[N+](c2ccc(C)cc2)c2ccc(C)cc2)C1=O,5.13887007
3469,CINNUK,C26 H19 N3 S1,S1C(=CC=C1c1ccncn1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,5.25424634
3470,CINROJ,C40 H40 S4,C1CCC(CC1)CC1=CC=C(S1)C1=CC=C(S1)c1ccc2cc(ccc2c1)C1=CC=C(S1)C1=CC=C(CC2CCCCC2)S1,4.99301705
3471,CINRUP,C38 H40 S4,CCCCCCC1=CC=C(S1)C1=CC=C(S1)c1ccc2cc(ccc2c1)C1=CC=C(S1)C1=CC=C(CCCCCC)S1,4.82621125
3472,CINXIJ,C16 H18 N2 O1 S1,CCCCNC(=S)NC(=O)c1cccc2ccccc12,6.1002483
3473,CINYUW,C32 H22 O1,O=C1C(c2ccccc2)C(=C(c2ccccc2)c2ccccc2)c2c3ccccc3ccc12,5.77779339
3474,CINZEH,C19 H16 O2,COc1ccc2C(=O)C(=C(C3CC3)c2c1)c1ccccc1,5.77860973
3475,CIPFOW,C21 H18 O1,COCc1c2ccccc2c(C)c2c1ccc1ccccc21,5.267307799999999
3476,CIPNAS,C18 H18 N2 S2,CC1=C(C)C2=C(C#N)C(=C3C(=C(C)SC3(C)C2(C)S1)C)C#N,4.7595433499999995
3477,CIPQIE,C34 H30 N4 S2,Cc1ccc(cc1)N1C(SC(=C1c1ccccc1)C)=NN=C1SC(=C(N1c1ccc(C)cc1)c1ccccc1)C,5.76854152
3478,CIPREB,C21 H21 N1 O3 S1,CN(C(=O)C(c1ccccc1)=C1CCC1=Cc1ccccc1)S(C)(=O)=O,5.70459476
3479,CIPTON,C26 H18 O3,O=CC=CC1=C(OC(=C1C(=O)c1ccccc1)c1ccccc1)c1ccccc1,5.837930549999999
3480,CIPVEE,C14 H16 O4,CC(O)CC(O)=CC(=O)C=C(O)c1ccccc1,6.50134412
3481,CIPVII,C12 H12 O3,CC(O)=CC(=O)C=C(O)c1ccccc1,6.41045809
3482,CIPWAA,C18 H16 O3,COc1cc(C)cc2C(=O)C(COc12)=Cc1ccccc1,5.982423
3483,CIPWIH,C24 H21 N3 O3,COc1ccc2N(C)C=C(C3=CC(C(=O)N3C)=C3C(=O)N(C)c4ccccc34)c2c1,4.313820870000001
3484,CIPWUU,C10 H10 Br1 N5 O2,CCOC(=O)C1=C(N)N(N=C1)c1ncc(Br)cn1,6.19467181
3485,CIPYUW,C16 H15 N1 O1,COc1ccc(cc1)N=CC=Cc1ccccc1,5.89725137
3486,CIQBAG,C13 H9 Br1 O2 S1,Oc1ccc(cc1)C(=O)C=CC1=CC=C(Br)S1,5.86350925
3487,CIQBEK,C46 H34 N4 O2 S2,O=C1c2ccccc2C(C=C1C1=CC(=NNc2ccccc2SCc2ccccc2)c2ccccc2C1=O)=NNc1ccccc1SCc1ccccc1,4.2901469599999995
3488,CIQCUB,C14 H12 Br1 N1 O2,Cc1ccc(O)c(NC=C2C=C(Br)C=CC2=O)c1,5.0795492499999995
3489,CIQDEM,C17 H20 N2 O2,CCN(CC)C1=CC(=O)C(=CNc2cccc(O)c2)C=C1,5.40826277
3490,CIQDOX,C16 H21 N1 O2,CCCCCCCCN1C(=O)C(=O)c2ccccc12,6.12337798
3491,CIQDUB,C19 H16 N2 O2,CC1=NN(c2ccccc2)C(=O)C1=C(O)C=Cc1ccccc1,4.88743687
3492,CIQDUD,C21 H16 Br1 N1 O3,CCOC(=O)C1=C(C)ON=C1c1c2ccccc2c(Br)c2ccccc12,5.2798250399999995
3493,CIQFEO,C16 H13 Cl1 O1 S1,CSc1ccc(cc1)C(=O)C=Cc1ccc(Cl)cc1,5.862965019999999
3494,CIQFIS,C34 H25 N1 O3,CN1CC(c2ccccc2)C2(COc3ccc4ccccc4c3C2=O)C21C(=O)c1cccc3cccc2c13,5.96255869
3495,CIQFIT,C19 H15 N3 O1,COc1nc(cc(c2ccccc2)c1C#N)c1ccc(N)cc1,5.72581964
3496,CIQFOZ,C19 H20 O6,COc1cc(OC)c(C=CC(=O)c2c(O)cccc2OC)c(OC)c1,5.87112843
3497,CIQFUG,C22 H25 N1 O2,O=C(OC(CN1CCCCC1)c1ccccc1)C=Cc1ccccc1,6.719851539999999
3498,CIQGIU,C19 H16 N4 O3,COC(=O)C(CC1=CNc2ccccc12)NC(=O)c1ncccc1C#N,5.90786381
3499,CIQKET,C19 H12 N2 O3,Oc1ccccc1C=NN1C(=O)c2cccc3cccc(C1=O)c23,6.19793718
3500,CIQKOD,C14 H11 N3,N#Cc1ccc(cc1)C=NNc1ccccc1,5.65561427
3502,CIQMAR,C17 H13 Cl1 N2 O1,CC1=C(N2C=CC=CC2=N1)C(=O)C=Cc1cccc(Cl)c1,5.93453097
3505,CIQQUR,C22 H16 N2 S3,S1C=CC=C1C1(SC(=NN1c1ccccc1)c1ccccc1)C1=CC=CS1,6.0090901599999995
3506,CIQRAY,C18 H14 N2 O1 S3,CC(=O)C1=NN(c2ccccc2)C(S1)(C1=CC=CS1)C1=CC=CS1,6.067050409999999
3507,CIQREC,C22 H23 N3 O5,OCCN1C(=O)N(CCO)C(=C1c1ccccc1)c1ccccc1N1CCOC1=O,5.95412316
3508,CIQSUT,C35 H40 Br2 N2 O3,CC12CCC(O)CC1CCC1C2CCC2(C)C(CCC12O)C1=CC(=O)N(c2ccc(Br)cc2)C1=Nc1ccc(Br)cc1,6.01643724
